State,State_Short,Total,Number,Percent
Alabama,AL,4243,665,15.7
Alaska,AK,640,56,8.8
Arizona,AZ,4643,797,17.2
Arkansas,AR,2621,515,19.7
California,CA,32877,5459,16.6
Colorado,CO,3921,320,8.2
Connecticut,CT,3296,282,8.6
Delaware,DE,749,72,9.6
D.C.,DC,516,113,21.8
Florida,FL,14354,2056,14.3
Georgia,GA,7631,1109,14.5
Hawaii,HI,1182,164,13.9
Idaho,ID,1251,183,14.7
Illinois,IL,12065,1349,11.2
Indiana,IN,5849,515,8.8
Iowa,IA,2820,270,9.6
Kansas,KS,2583,250,9.7
Kentucky,KY,3913,623,15.9
Louisiana,LA,4241,691,16.3
Maine,ME,1222,124,10.1
Maryland,MD,5043,422,8.4
Massachusetts,MA,5991,732,12.2
Michigan,MI,9783,1006,10.3
Minnesota,MN,4748,457,9.6
Mississippi,MS,2731,455,16.7
Missouri,MO,5315,627,11.8
Montana,MT,892,139,15.6
Nebraska,NE,1658,163,9.8
Nevada,NV,1723,190,11.0
New Hampshire,NH,1197,109,9.1
New Jersey,NJ,7967,737,9.3
New Mexico,NM,1823,387,21.2
New York,NY,18103,2979,16.5
North Carolina,NC,7345,839,11.4
North Dakota,ND,638,87,13.6
Ohio,OH,11212,1231,11.0
Oklahoma,OK,3321,456,13.7
Oregon,OR,3284,382,11.6
Pennsylvania,PA,11904,1337,11.2
Rhode Island,RI,943,120,12.7
South Carolina,SC,3813,500,13.1
South Dakota,SD,708,117,16.5
Tennessee,TN,5536,791,14.3
Texas,TX,19688,3297,16.7
Utah,UT,2085,185,8.9
Vermont,VT,580,54,9.3
Virginia,VA,6747,858,12.7
Washington,WA,5735,529,9.2
West Virginia,WV,1742,286,16.4
Wisconsin,WI,5120,422,8.2
Wyoming,WY,490,66,13.5
