State,State_Short,Total,Number,Percent
Alabama,AL,4388,668,15.2
Alaska,AK,630,48,7.6
Arizona,AZ,5057,616,12.2
Arkansas,AR,2616,384,14.7
California,CA,33705,4733,14.0
Colorado,CO,4319,366,8.5
Connecticut,CT,3418,246,7.2
Delaware,DE,768,80,10.4
D.C.,DC,545,80,14.7
Florida,FL,15566,1937,12.4
Georgia,GA,7877,1011,12.8
Hawaii,HI,1225,133,10.8
Idaho,ID,1240,175,14.1
Illinois,IL,12248,1215,9.9
Indiana,IN,5914,396,6.7
Iowa,IA,2856,210,7.4
Kansas,KS,2605,320,12.3
Kentucky,KY,3859,467,12.1
Louisiana,LA,4289,823,19.2
Maine,ME,1260,134,10.6
Maryland,MD,5049,367,7.3
Massachusetts,MA,6262,738,11.8
Michigan,MI,10052,978,9.7
Minnesota,MN,4868,354,7.3
Mississippi,MS,2755,446,16.2
Missouri,MO,5511,647,11.7
Montana,MT,891,141,15.8
Nebraska,NE,1683,184,11.0
Nevada,NV,2033,229,11.3
New Hampshire,NH,1255,96,7.6
New Jersey,NJ,8232,646,7.8
New Mexico,NM,1831,383,20.9
New York,NY,18855,2676,14.2
North Carolina,NC,7766,1069,13.8
North Dakota,ND,621,81,13.1
Ohio,OH,11223,1343,12.0
Oklahoma,OK,3300,424,12.8
Oregon,OR,3421,432,12.6
Pennsylvania,PA,11948,1117,9.3
Rhode Island,RI,1033,103,10.0
South Carolina,SC,3800,445,11.7
South Dakota,SD,709,55,7.7
Tennessee,TN,5583,662,11.9
Texas,TX,20173,3072,15.2
Utah,UT,2194,126,5.7
Vermont,VT,599,58,9.6
Virginia,VA,6831,537,7.9
Washington,WA,5698,545,9.6
West Virginia,WV,1734,272,15.7
Wisconsin,WI,5429,466,8.6
Wyoming,WY,484,56,11.6
