State,State_Short,Total,Number,Percent
Alabama,AL,4376,583,13.3
Alaska,AK,620,47,7.6
Arizona,AZ,5181,607,11.7
Arkansas,AR,2650,436,16.5
California,CA,33889,4294,12.7
Colorado,CO,4334,425,9.8
Connecticut,CT,3365,258,7.7
Delaware,DE,777,65,8.4
D.C.,DC,552,84,15.2
Florida,FL,15991,1754,11.0
Georgia,GA,8112,982,12.1
Hawaii,HI,1195,106,8.9
Idaho,ID,1289,162,12.5
Illinois,IL,12269,1307,10.7
Indiana,IN,6007,513,8.5
Iowa,IA,2858,237,8.3
Kansas,KS,2649,213,8.0
Kentucky,KY,3995,502,12.6
Louisiana,LA,4354,750,17.2
Maine,ME,1267,128,10.1
Maryland,MD,5241,386,7.4
Massachusetts,MA,6284,618,9.8
Michigan,MI,9813,967,9.9
Minnesota,MN,4890,276,5.7
Mississippi,MS,2794,418,14.9
Missouri,MO,5517,505,9.2
Montana,MT,888,126,14.1
Nebraska,NE,1679,145,8.6
Nevada,NV,2045,180,8.8
New Hampshire,NH,1231,56,4.5
New Jersey,NJ,8384,612,7.3
New Mexico,NM,1790,312,17.5
New York,NY,18752,2604,13.9
North Carolina,NC,7983,1000,12.5
North Dakota,ND,622,65,10.4
Ohio,OH,11160,1117,10.0
Oklahoma,OK,3378,503,14.9
Oregon,OR,3415,371,10.9
Pennsylvania,PA,12044,1033,8.6
Rhode Island,RI,1035,106,10.2
South Carolina,SC,3964,441,11.1
South Dakota,SD,737,79,10.7
Tennessee,TN,5630,759,13.5
Texas,TX,20695,3204,15.5
Utah,UT,2239,170,7.6
Vermont,VT,599,60,10.0
Virginia,VA,6977,577,8.3
Washington,WA,5863,634,10.8
West Virginia,WV,1773,261,14.7
Wisconsin,WI,5308,493,9.3
Wyoming,WY,485,52,10.8
