State,State_Short,Total,Number,Percent
Alabama,AL,4765,732,15.4
Alaska,AK,712,83,11.7
Arizona,AZ,6547,1128,17.2
Arkansas,AR,2909,545,18.7
California,CA,37592,6352,16.9
Colorado,CO,5016,661,13.2
Connecticut,CT,3514,356,10.1
Delaware,DE,902,123,13.7
D.C.,DC,619,123,19.9
Florida,FL,18986,2822,14.9
Georgia,GA,9681,1783,18.4
Hawaii,HI,1337,162,12.1
Idaho,ID,1574,248,15.7
Illinois,IL,12697,1807,14.2
Indiana,IN,6344,989,15.6
Iowa,IA,3027,315,10.4
Kansas,KS,2807,402,14.3
Kentucky,KY,4302,689,16.0
Louisiana,LA,4494,947,21.1
Maine,ME,1328,178,13.4
Maryland,MD,5806,537,9.3
Massachusetts,MA,6514,688,10.6
Michigan,MI,9689,1449,15.0
Minnesota,MN,5276,528,10.0
Mississippi,MS,2932,510,17.4
Missouri,MO,5892,910,15.4
Montana,MT,986,163,16.5
Nebraska,NE,1823,187,10.2
Nevada,NV,2682,414,15.5
New Hampshire,NH,1300,99,7.6
New Jersey,NJ,8642,988,11.4
New Mexico,NM,2037,451,22.2
New York,NY,19329,3085,16.0
North Carolina,NC,9504,1459,15.4
North Dakota,ND,675,67,9.9
Ohio,OH,11309,1708,15.1
Oklahoma,OK,3763,522,13.9
Oregon,OR,3850,553,14.4
Pennsylvania,PA,12697,1604,12.6
Rhode Island,RI,1038,139,13.4
South Carolina,SC,4605,874,19.0
South Dakota,SD,808,117,14.5
Tennessee,TN,6324,1030,16.3
Texas,TX,25554,4458,17.4
Utah,UT,2812,309,11.0
Vermont,VT,615,71,11.6
Virginia,VA,7971,907,11.4
Washington,WA,6812,854,12.5
West Virginia,WV,1820,318,17.5
Wisconsin,WI,5676,743,13.1
Wyoming,WY,562,60,10.7
