State,State_Short,Total,Number,Percent
Alabama,AL,4378,696,15.9
Alaska,AK,632,54,8.5
Arizona,AZ,5314,778,14.6
Arkansas,AR,2650,472,17.8
California,CA,34394,4321,12.6
Colorado,CO,4402,383,8.7
Connecticut,CT,3385,249,7.3
Delaware,DE,790,53,6.7
D.C.,DC,554,101,18.2
Florida,FL,16316,2077,12.7
Georgia,GA,8261,1069,12.9
Hawaii,HI,1205,138,11.4
Idaho,ID,1314,151,11.5
Illinois,IL,12314,1249,10.1
Indiana,IN,6030,511,8.5
Iowa,IA,2858,212,7.4
Kansas,KS,2635,267,10.1
Kentucky,KY,3989,503,12.6
Louisiana,LA,4372,709,16.2
Maine,ME,1277,132,10.3
Maryland,MD,5318,385,7.2
Massachusetts,MA,6302,561,8.9
Michigan,MI,9880,927,9.4
Minnesota,MN,4910,361,7.4
Mississippi,MS,2794,539,19.3
Missouri,MO,5513,537,9.7
Montana,MT,891,119,13.3
Nebraska,NE,1680,158,9.4
Nevada,NV,2129,152,7.1
New Hampshire,NH,1254,81,6.5
New Jersey,NJ,8456,683,8.1
New Mexico,NM,1795,323,18.0
New York,NY,18783,2664,14.2
North Carolina,NC,8084,1013,12.5
North Dakota,ND,620,86,13.8
Ohio,OH,11178,1174,10.5
Oklahoma,OK,3372,508,15.1
Oregon,OR,3446,408,11.8
Pennsylvania,PA,12087,1158,9.6
Rhode Island,RI,1043,100,9.6
South Carolina,SC,3995,603,15.1
South Dakota,SD,737,62,8.4
Tennessee,TN,5670,802,14.1
Texas,TX,21030,3129,14.9
Utah,UT,2257,238,10.5
Vermont,VT,605,59,9.7
Virginia,VA,7080,564,8.0
Washington,WA,5920,634,10.7
West Virginia,WV,1769,291,16.4
Wisconsin,WI,5323,423,7.9
Wyoming,WY,487,42,8.7
