State,State_Short,Year,Total,Number,Percent
New Mexico,NM,1991,1554,349,22.4
New York,NY,1991,17914,2736,15.3
North Carolina,NC,1991,6641,964,14.5
North Dakota,ND,1991,635,92,14.5
Ohio,OH,1991,11061,1488,13.4
Oklahoma,OK,1991,3173,541,17
Oregon,OR,1991,2967,401,13.5
Pennsylvania,PA,1991,12147,1340,11
Rhode Island,RI,1991,949,99,10.4
South Carolina,SC,1991,3538,582,16.4
South Dakota,SD,1991,689,96,14
Tennessee,TN,1991,4787,744,15.5
Texas,TX,1991,16964,2965,17.5
Utah,UT,1991,1717,222,12.9
Vermont,VT,1991,579,73,12.6
Virginia,VA,1991,6144,608,9.9
Washington,WA,1991,4989,474,9.5
West Virginia,WV,1991,1830,327,17.9
Wisconsin,WI,1991,4952,492,9.9
Wyoming,WY,1991,470,47,9.9
Alabama,AL,1990,4063,779,19.2
Alaska,AK,1990,499,57,11.4
Arizona,AZ,1990,3521,484,13.7
Arkansas,AR,1990,2411,472,19.6
California,CA,1990,29765,4128,13.9
Colorado,CO,1990,3367,461,13.7
Connecticut,CT,1990,3265,196,6
Delaware,DE,1990,690,48,6.9
D.C.,DC,1990,570,120,21.1
Florida,FL,1990,13179,1896,14.4
Georgia,GA,1990,6349,1001,15.8
Hawaii,HI,1990,1100,121,11
Idaho,ID,1990,1048,157,14.9
Illinois,IL,1990,11696,1606,13.7
Indiana,IN,1990,5480,714,13
Iowa,IA,1990,2784,289,10.4
Kansas,KS,1990,2510,259,10.3
Kentucky,KY,1990,3620,628,17.3
Louisiana,LA,1990,4034,952,23.6
Maine,ME,1990,1231,162,13.1
Maryland,MD,1990,4727,468,9.9
Massachusetts,MA,1990,5832,626,10.7
Michigan,MI,1990,9187,1315,14.3
Minnesota,MN,1990,4366,524,12
Mississippi,MS,1990,2663,684,25.7
Missouri,MO,1990,5238,700,13.4
Montana,MT,1990,820,134,16.3
Nebraska,NE,1990,1617,167,10.3
Nevada,NV,1990,1218,119,9.8
New Hampshire,NH,1990,1085,68,6.3
New Jersey,NJ,1990,7741,711,9.2
New Mexico,NM,1990,1524,319,20.9
New York,NY,1990,18038,2571,14.3
North Carolina,NC,1990,6377,829,13
North Dakota,ND,1990,635,87,13.7
Ohio,OH,1990,10890,1256,11.5
Oklahoma,OK,1990,3091,481,15.6
Oregon,OR,1990,2891,267,9.2
Pennsylvania,PA,1990,12097,1328,11
Rhode Island,RI,1990,946,71,7.5
South Carolina,SC,1990,3391,548,16.2
South Dakota,SD,1990,696,93,13.3
Tennessee,TN,1990,4927,833,16.9
Texas,TX,1990,16873,2684,15.9
Utah,UT,1990,1739,143,8.2
Vermont,VT,1990,564,61,10.9
Virginia,VA,1990,6322,705,11.1
Washington,WA,1990,4880,434,8.9
West Virginia,WV,1990,1810,328,18.1
Wisconsin,WI,1990,4815,448,9.3
Wyoming,WY,1990,463,51,11
Alabama,AL,1989,4074,770,18.9
Alaska,AK,1989,488,51,10.5
Arizona,AZ,1989,3556,502,14.1
Arkansas,AR,1989,2419,442,18.3
California,CA,1989,29346,3772,12.9
Colorado,CO,1989,3258,393,12.1
Connecticut,CT,1989,3136,90,2.9
Delaware,DE,1989,676,68,10
D.C.,DC,1989,569,102,18
Florida,FL,1989,12762,1590,12.5
Georgia,GA,1989,6197,929,15
Hawaii,HI,1989,1086,122,11.3
Idaho,ID,1989,1014,126,12.4
Illinois,IL,1989,11559,1470,12.7
Indiana,IN,1989,5453,749,13.7
Iowa,IA,1989,2835,291,10.3
Kansas,KS,1989,2434,262,10.8
Kentucky,KY,1989,3576,576,16.1
Louisiana,LA,1989,4080,950,23.3
Maine,ME,1989,1233,128,10.4
Maryland,MD,1989,4567,411,9
Massachusetts,MA,1989,5831,513,8.8
Michigan,MI,1989,9297,1228,13.2
Minnesota,MN,1989,4268,478,11.2
Mississippi,MS,1989,2574,566,22
Missouri,MO,1989,5193,654,12.6
Montana,MT,1989,816,127,15.6
Nebraska,NE,1989,1602,204,12.8
Nevada,NV,1989,1127,121,10.8
New Hampshire,NH,1989,1100,84,7.7
New Jersey,NJ,1989,7623,622,8.2
New Mexico,NM,1989,1519,297,19.5
New York,NY,1989,17938,2254,12.6
North Carolina,NC,1989,6301,770,12.2
North Dakota,ND,1989,642,79,12.2
Ohio,OH,1989,10754,1143,10.6
Oklahoma,OK,1989,3126,460,14.7
Oregon,OR,1989,2915,327,11.2
Pennsylvania,PA,1989,12141,1261,10.4
Rhode Island,RI,1989,963,64,6.7
South Carolina,SC,1989,3446,585,17
South Dakota,SD,1989,696,92,13.2
Tennessee,TN,1989,4833,891,18.4
Texas,TX,1989,16886,2880,17.1
Utah,UT,1989,1683,138,8.2
Vermont,VT,1989,556,44,8
Virginia,VA,1989,6159,671,10.9
Washington,WA,1989,4729,455,9.6
West Virginia,WV,1989,1799,283,15.7
Wisconsin,WI,1989,4694,393,8.4
Wyoming,WY,1989,462,50,10.9
Alabama,AL,1988,4015,775,19.3
Alaska,AK,1988,480,53,11
Arizona,AZ,1988,3491,491,14.1
Arkansas,AR,1988,2446,527,21.6
California,CA,1988,27855,3687,13.2
Colorado,CO,1988,3237,405,12.5
Connecticut,CT,1988,3199,128,4
Delaware,DE,1988,659,57,8.6
D.C.,DC,1988,579,88,15.2
Florida,FL,1988,12497,1704,13.6
Georgia,GA,1988,6230,875,14
Hawaii,HI,1988,1051,117,11.1
Idaho,ID,1988,991,124,12.5
Illinois,IL,1988,11344,1436,12.7
Indiana,IN,1988,5530,560,10.1
Iowa,IA,1988,2814,263,9.4
Kansas,KS,1988,2399,195,8.1
Kentucky,KY,1988,3605,634,17.6
Louisiana,LA,1988,4249,968,22.8
Maine,ME,1988,1201,159,13.2
