State,State_Short,Year,Total,Number,Percent
Ohio,OH,1983,10681,1434,13.4
Oklahoma,OK,1983,3259,553,17
Oregon,OR,1983,2597,419,16.1
Pennsylvania,PA,1983,11640,1797,15.4
Rhode Island,RI,1983,971,141,14.5
South Carolina,SC,1983,3295,687,20.8
South Dakota,SD,1983,689,127,18.4
Tennessee,TN,1983,4663,933,20
Texas,TX,1983,15587,2499,16
Utah,UT,1983,1591,214,13.5
Vermont,VT,1983,531,83,15.6
Virginia,VA,1983,5448,618,11.3
Washington,WA,1983,4274,460,10.8
West Virginia,WV,1983,1898,419,22.1
Wisconsin,WI,1983,4736,504,10.7
Wyoming,WY,1983,486,61,12.6
Alabama,AL,1982,3937,849,21.6
Alaska,AK,1982,432,46,10.6
Arizona,AZ,1982,2765,408,14.8
Arkansas,AR,1982,2219,527,23.8
California,CA,1982,24613,3475,14.1
Colorado,CO,1982,3064,387,12.6
Connecticut,CT,1982,3126,254,8.1
Delaware,DE,1982,611,70,11.5
D.C.,DC,1982,609,117,19.3
Florida,FL,1982,10514,1601,15.2
Georgia,GA,1982,5472,1074,19.6
Hawaii,HI,1982,997,132,13.2
Idaho,ID,1982,967,151,15.6
Illinois,IL,1982,11284,1512,13.4
Indiana,IN,1982,5415,683,12.6
Iowa,IA,1982,2770,371,13.4
Kansas,KS,1982,2365,247,10.4
Kentucky,KY,1982,3618,587,16.2
Louisiana,LA,1982,4299,976,22.7
Maine,ME,1982,1133,156,13.7
Maryland,MD,1982,4190,516,12.3
Massachusetts,MA,1982,5748,590,10.3
Michigan,MI,1982,9117,1481,16.2
Minnesota,MN,1982,4120,546,13.3
Mississippi,MS,1982,2454,562,22.9
Missouri,MO,1982,4798,699,14.6
Montana,MT,1982,793,134,17
Nebraska,NE,1982,1582,216,13.6
Nevada,NV,1982,897,70,7.8
New Hampshire,NH,1982,943,97,10.3
New Jersey,NJ,1982,7367,896,12.2
New Mexico,NM,1982,1355,303,22.4
New York,NY,1982,17656,2607,14.8
North Carolina,NC,1982,5928,1201,20.3
North Dakota,ND,1982,658,85,12.9
Ohio,OH,1982,10711,1366,12.8
Oklahoma,OK,1982,3111,478,15.4
Oregon,OR,1982,2557,354,13.9
Pennsylvania,PA,1982,11619,1572,13.5
Rhode Island,RI,1982,942,125,13.3
South Carolina,SC,1982,3301,701,21.2
South Dakota,SD,1982,677,114,16.8
Tennessee,TN,1982,4679,1106,23.6
Texas,TX,1982,15153,2450,16.2
Utah,UT,1982,1575,229,14.5
Vermont,VT,1982,519,67,12.9
Virginia,VA,1982,5329,668,12.5
Washington,WA,1982,4259,549,12.9
West Virginia,WV,1982,1951,484,24.8
Wisconsin,WI,1982,4733,452,9.5
Wyoming,WY,1982,481,58,12
Alabama,AL,1981,3878,935,24.1
Alaska,AK,1981,403,36,9
Arizona,AZ,1981,2751,323,11.7
Arkansas,AR,1981,2247,541,24.1
California,CA,1981,24112,3216,13.3
Colorado,CO,1981,2958,285,9.6
Connecticut,CT,1981,3084,254,8.2
Delaware,DE,1981,587,72,12.3
D.C.,DC,1981,612,111,18.1
Florida,FL,1981,10277,1704,16.6
Georgia,GA,1981,5415,881,16.3
Hawaii,HI,1981,953,108,11.3
Idaho,ID,1981,962,171,17.7
Illinois,IL,1981,11338,1371,12.1
Indiana,IN,1981,5431,685,12.6
Iowa,IA,1981,2815,368,13.1
Kansas,KS,1981,2282,267,11.7
Kentucky,KY,1981,3668,708,19.3
Louisiana,LA,1981,4262,938,22
Maine,ME,1981,1116,179,16
Maryland,MD,1981,4123,442,10.7
Massachusetts,MA,1981,5804,518,8.9
Michigan,MI,1981,9096,1184,13
Minnesota,MN,1981,4034,438,10.9
Mississippi,MS,1981,2408,618,25.7
Missouri,MO,1981,4814,634,13.2
Montana,MT,1981,813,107,13.1
Nebraska,NE,1981,1579,221,14
Nevada,NV,1981,884,93,10.5
New Hampshire,NH,1981,929,70,7.6
New Jersey,NJ,1981,7331,736,10
New Mexico,NM,1981,1303,243,18.6
New York,NY,1981,17471,2516,14.4
North Carolina,NC,1981,5820,1016,17.5
North Dakota,ND,1981,626,89,14.2
Ohio,OH,1981,10751,1369,12.7
Oklahoma,OK,1981,2985,413,13.8
Oregon,OR,1981,2693,331,12.3
Pennsylvania,PA,1981,11738,1367,11.6
Rhode Island,RI,1981,936,109,11.7
South Carolina,SC,1981,3347,615,18.4
South Dakota,SD,1981,675,132,19.5
Tennessee,TN,1981,4502,943,20.9
Texas,TX,1981,14641,2258,15.4
Utah,UT,1981,1516,185,12.2
Vermont,VT,1981,535,66,12.3
Virginia,VA,1981,5257,662,12.6
Washington,WA,1981,4168,471,11.3
West Virginia,WV,1981,2003,398,19.9
Wisconsin,WI,1981,4741,384,8.1
Wyoming,WY,1981,482,43,8.9
Alabama,AL,1980,3831,810,21.2
Alaska,AK,1980,379,36,9.6
Arizona,AZ,1980,2774,354,12.8
Arkansas,AR,1980,2249,484,21.5
California,CA,1980,23748,2619,11
Colorado,CO,1980,2869,247,8.6
Connecticut,CT,1980,3090,255,8.3
Delaware,DE,1980,578,68,11.8
D.C.,DC,1980,626,131,20.9
Florida,FL,1980,10100,1692,16.7
Georgia,GA,1980,5243,727,13.9
Hawaii,HI,1980,954,81,8.5
Idaho,ID,1980,934,138,14.7
Illinois,IL,1980,11259,1386,12.3
Indiana,IN,1980,5490,645,11.8
Iowa,IA,1980,2868,311,10.8
Kansas,KS,1980,2286,215,9.4
Kentucky,KY,1980,3641,701,19.3
Louisiana,LA,1980,4273,868,20.3
Maine,ME,1980,1077,158,14.6
Maryland,MD,1980,4104,389,9.5
Massachusetts,MA,1980,5725,542,9.5
Michigan,MI,1980,9227,1194,12.9
Minnesota,MN,1980,3920,342,8.7
Mississippi,MS,1980,2429,591,24.3
Missouri,MO,1980,4800,625,13
Montana,MT,1980,774,102,13.2
Nebraska,NE,1980,1532,199,13
Nevada,NV,1980,840,70,8.3
New Hampshire,NH,1980,907,63,7
New Jersey,NJ,1980,7316,659,9
New Mexico,NM,1980,1304,268,20.6
New York,NY,1980,17321,2391,13.8
North Carolina,NC,1980,5836,877,15
North Dakota,ND,1980,640,99,15.5
Ohio,OH,1980,10630,1046,9.8
Oklahoma,OK,1980,2916,406,13.9
Oregon,OR,1980,2684,309,11.5
Pennsylvania,PA,1980,11665,1142,9.8
Rhode Island,RI,1980,911,97,10.7
South Carolina,SC,1980,3174,534,16.8
South Dakota,SD,1980,677,127,18.8
Tennessee,TN,1980,4519,884,19.6
Texas,TX,1980,14326,2247,15.7
Utah,UT,1980,1488,148,10
Vermont,VT,1980,520,62,12
Virginia,VA,1980,5204,647,12.4
Washington,WA,1980,4223,538,12.7
West Virginia,WV,1980,1952,297,15.2
Wisconsin,WI,1980,4724,403,8.5
Wyoming,WY,1980,468,49,10.4
