State,State_Short,Total,Number,Percent
Alabama,AL,4168,725,17.4
Alaska,AK,570,52,9.1
Arizona,AZ,4003,615,15.4
Arkansas,AR,2421,484,20.0
California,CA,31970,5803,18.2
Colorado,CO,3564,354,9.9
Connecticut,CT,3259,277,8.5
Delaware,DE,711,73,10.2
D.C.,DC,597,158,26.4
Florida,FL,14118,2507,17.8
Georgia,GA,6825,919,13.5
Hawaii,HI,1135,91,8.0
Idaho,ID,1145,150,13.1
Illinois,IL,11725,1600,13.6
Indiana,IN,5751,704,12.2
Iowa,IA,2809,290,10.3
Kansas,KS,2496,327,13.1
Kentucky,KY,3740,763,20.4
Louisiana,LA,4246,1119,26.4
Maine,ME,1276,196,15.4
Maryland,MD,4925,479,9.7
Massachusetts,MA,5991,641,10.7
Michigan,MI,9560,1475,15.4
Minnesota,MN,4354,506,11.6
Mississippi,MS,2584,639,24.7
Missouri,MO,5185,832,16.1
Montana,MT,850,127,14.9
Nebraska,NE,1641,169,10.3
Nevada,NV,1444,141,9.8
New Hampshire,NH,1131,112,9.9
New Jersey,NJ,7968,866,10.9
New Mexico,NM,1623,282,17.4
New York,NY,18218,2981,16.4
North Carolina,NC,6732,966,14.4
North Dakota,ND,625,70,11.2
Ohio,OH,11264,1461,13.0
Oklahoma,OK,3326,662,19.9
Oregon,OR,3077,363,11.8
Pennsylvania,PA,12073,1598,13.2
Rhode Island,RI,969,108,11.2
South Carolina,SC,3630,678,18.7
South Dakota,SD,717,102,14.2
Tennessee,TN,5092,998,19.6
Texas,TX,18266,3177,17.4
Utah,UT,1906,203,10.7
Vermont,VT,588,59,10.0
Virginia,VA,6470,627,9.7
Washington,WA,5224,634,12.1
West Virginia,WV,1803,400,22.2
Wisconsin,WI,5033,636,12.6
Wyoming,WY,481,64,13.3
