State,State_Short,Total,Number,Percent
Alabama,AL,4716,675,14.3
Alaska,AK,672,55,8.2
Arizona,AZ,6529,1172,18.0
Arkansas,AR,2822,431,15.3
California,CA,36637,5344,14.6
Colorado,CO,4908,541,11.0
Connecticut,CT,3433,276,8.1
Delaware,DE,861,82,9.6
D.C.,DC,590,98,16.5
Florida,FL,18022,2370,13.1
Georgia,GA,9541,1477,15.5
Hawaii,HI,1255,125,9.9
Idaho,ID,1515,185,12.2
Illinois,IL,12687,1564,12.3
Indiana,IN,6288,901,14.3
Iowa,IA,2986,285,9.5
Kansas,KS,2716,346,12.7
Kentucky,KY,4246,724,17.1
Louisiana,LA,4326,788,18.2
Maine,ME,1317,158,12.0
Maryland,MD,5528,481,8.7
Massachusetts,MA,6420,727,11.3
Michigan,MI,9806,1273,13.0
Minnesota,MN,5120,506,9.9
Mississippi,MS,2900,525,18.1
Missouri,MO,5861,780,13.3
Montana,MT,973,125,12.9
Nebraska,NE,1774,188,10.6
Nevada,NV,2581,278,10.8
New Hampshire,NH,1300,91,7.0
New Jersey,NJ,8515,787,9.2
New Mexico,NM,1977,381,19.3
New York,NY,19309,2734,14.2
North Carolina,NC,9234,1285,13.9
North Dakota,ND,625,74,11.8
Ohio,OH,11386,1557,13.7
Oklahoma,OK,3550,484,13.6
Oregon,OR,3806,403,10.6
Pennsylvania,PA,12178,1335,11.0
Rhode Island,RI,1042,132,12.7
South Carolina,SC,4462,624,14.0
South Dakota,SD,794,104,13.1
Tennessee,TN,6163,924,15.0
Texas,TX,24174,3834,15.9
Utah,UT,2754,209,7.6
Vermont,VT,610,55,9.0
Virginia,VA,7735,799,10.3
Washington,WA,6526,680,10.4
West Virginia,WV,1796,260,14.5
Wisconsin,WI,5548,544,9.8
Wyoming,WY,529,54,10.1
