State,State_Short,Total,Number,Percent
Alabama,AL,4417,663,15.0
Alaska,AK,643,62,9.6
Arizona,AZ,5558,749,13.5
Arkansas,AR,2670,474,17.8
California,CA,35309,4634,13.1
Colorado,CO,4478,436,9.7
Connecticut,CT,3417,278,8.1
Delaware,DE,818,60,7.3
D.C.,DC,550,92,16.8
Florida,FL,16884,2148,12.7
Georgia,GA,8559,1014,11.9
Hawaii,HI,1250,117,9.3
Idaho,ID,1356,138,10.2
Illinois,IL,12616,1592,12.6
Indiana,IN,6130,610,9.9
Iowa,IA,2916,260,8.9
Kansas,KS,2676,288,10.8
Kentucky,KY,4100,589,14.4
Louisiana,LA,4422,750,17.0
Maine,ME,1279,149,11.6
Maryland,MD,5485,472,8.6
Massachusetts,MA,6357,652,10.3
Michigan,MI,9893,1125,11.4
Minnesota,MN,5075,376,7.4
Mississippi,MS,2851,456,16.0
Missouri,MO,5606,602,10.7
Montana,MT,915,139,15.1
Nebraska,NE,1725,168,9.8
Nevada,NV,2242,244,10.9
New Hampshire,NH,1263,73,5.8
New Jersey,NJ,8574,741,8.6
New Mexico,NM,1867,338,18.1
New York,NY,18922,2707,14.3
North Carolina,NC,8223,1289,15.7
North Dakota,ND,631,61,9.7
Ohio,OH,11227,1226,10.9
Oklahoma,OK,3430,440,12.8
Oregon,OR,3560,446,12.5
Pennsylvania,PA,12135,1279,10.5
Rhode Island,RI,1051,121,11.5
South Carolina,SC,4060,516,12.7
South Dakota,SD,749,95,12.7
Tennessee,TN,5901,829,14.0
Texas,TX,21827,3705,17.0
Utah,UT,2346,213,9.1
Vermont,VT,610,52,8.5
Virginia,VA,7367,740,10.0
Washington,WA,6078,766,12.6
West Virginia,WV,1785,310,17.4
Wisconsin,WI,5412,528,9.8
Wyoming,WY,487,48,9.8
