State,State_Short,Total,Number,Percent
Alabama,AL,4717,812,17.2
Alaska,AK,695,87,12.5
Arizona,AZ,6426,1208,18.8
Arkansas,AR,2879,440,15.3
California,CA,37240,6073,16.3
Colorado,CO,4995,615,12.3
Connecticut,CT,3541,303,8.6
Delaware,DE,890,109,12.2
D.C.,DC,604,118,19.5
Florida,FL,18759,3006,16.0
Georgia,GA,9650,1814,18.8
Hawaii,HI,1311,162,12.4
Idaho,ID,1543,213,13.8
Illinois,IL,12784,1798,14.1
Indiana,IN,6390,1041,16.3
Iowa,IA,2977,307,10.3
Kansas,KS,2766,400,14.5
Kentucky,KY,4270,754,17.7
Louisiana,LA,4418,949,21.5
Maine,ME,1298,164,12.6
Maryland,MD,5786,628,10.9
Massachusetts,MA,6532,711,10.9
Michigan,MI,9751,1530,15.7
Minnesota,MN,5217,563,10.8
Mississippi,MS,2920,658,22.5
Missouri,MO,5929,890,15.0
Montana,MT,979,142,14.5
Nebraska,NE,1804,184,10.2
Nevada,NV,2696,446,16.6
New Hampshire,NH,1294,84,6.5
New Jersey,NJ,8733,966,11.1
New Mexico,NM,2033,372,18.3
New York,NY,19116,3062,16.0
North Carolina,NC,9359,1633,17.4
North Dakota,ND,653,82,12.6
Ohio,OH,11341,1746,15.4
Oklahoma,OK,3697,603,16.3
Oregon,OR,3752,537,14.3
Pennsylvania,PA,12530,1535,12.2
Rhode Island,RI,1042,146,14.0
South Carolina,SC,4563,773,16.9
South Dakota,SD,799,109,13.6
Tennessee,TN,6315,1052,16.7
Texas,TX,25200,4633,18.4
Utah,UT,2768,278,10.0
Vermont,VT,624,67,10.8
Virginia,VA,7837,835,10.7
Washington,WA,6713,779,11.6
West Virginia,WV,1816,306,16.8
Wisconsin,WI,5626,567,10.1
Wyoming,WY,550,53,9.6
