State,State_Short,Total,Number,Percent
Alabama,AL,4178,786,18.8
Alaska,AK,525,62,11.8
Arizona,AZ,3603,532,14.8
Arkansas,AR,2450,425,17.3
California,CA,30735,4825,15.7
Colorado,CO,3319,347,10.4
Connecticut,CT,3341,287,8.6
Delaware,DE,709,53,7.5
D.C.,DC,530,98,18.6
Florida,FL,13412,2069,15.4
Georgia,GA,6265,1077,17.2
Hawaii,HI,1164,90,7.7
Idaho,ID,1035,144,13.9
Illinois,IL,11800,1598,13.5
Indiana,IN,5533,866,15.7
Iowa,IA,2821,271,9.6
Kansas,KS,2580,317,12.3
Kentucky,KY,3640,683,18.8
Louisiana,LA,4185,795,19.0
Maine,ME,1213,171,14.1
Maryland,MD,4767,432,9.1
Massachusetts,MA,5803,637,11.0
Michigan,MI,9263,1308,14.1
Minnesota,MN,4384,564,12.9
Mississippi,MS,2681,635,23.7
Missouri,MO,4993,740,14.8
Montana,MT,822,127,15.4
Nebraska,NE,1661,157,9.5
Nevada,NV,1237,141,11.4
New Hampshire,NH,1107,81,7.3
New Jersey,NJ,7736,754,9.7
New Mexico,NM,1554,349,22.4
New York,NY,17914,2736,15.3
North Carolina,NC,6641,964,14.5
North Dakota,ND,635,92,14.5
Ohio,OH,11061,1488,13.4
Oklahoma,OK,3173,541,17.0
Oregon,OR,2967,401,13.5
Pennsylvania,PA,12147,1340,11.0
Rhode Island,RI,949,99,10.4
South Carolina,SC,3538,582,16.4
South Dakota,SD,689,96,14.0
Tennessee,TN,4787,744,15.5
Texas,TX,16964,2965,17.5
Utah,UT,1717,222,12.9
Vermont,VT,579,73,12.6
Virginia,VA,6144,608,9.9
Washington,WA,4989,474,9.5
West Virginia,WV,1830,327,17.9
Wisconsin,WI,4952,492,9.9
Wyoming,WY,470,47,9.9
