State,State_Short,Total,Number,Percent
Alabama,AL,4226,729,17.3
Alaska,AK,572,58,10.2
Arizona,AZ,3851,607,15.8
Arkansas,AR,2463,430,17.5
California,CA,31701,5197,16.4
Colorado,CO,3478,376,10.8
Connecticut,CT,3272,321,9.8
Delaware,DE,709,55,7.8
D.C.,DC,591,120,20.3
Florida,FL,13714,2139,15.6
Georgia,GA,6664,1177,17.7
Hawaii,HI,1187,133,11.2
Idaho,ID,1095,166,15.2
Illinois,IL,11892,1857,15.6
Indiana,IN,5622,661,11.8
Iowa,IA,2846,328,11.5
Kansas,KS,2510,279,11.1
Kentucky,KY,3720,731,19.7
Louisiana,LA,4256,1043,24.5
Maine,ME,1239,167,13.5
Maryland,MD,4946,583,11.8
Massachusetts,MA,5843,600,10.3
Michigan,MI,9322,1271,13.6
Minnesota,MN,4318,561,13.0
Mississippi,MS,2725,671,24.6
Missouri,MO,5062,795,15.7
Montana,MT,855,118,13.8
Nebraska,NE,1606,169,10.6
Nevada,NV,1353,199,14.7
New Hampshire,NH,1114,97,8.7
New Jersey,NJ,7803,803,10.3
New Mexico,NM,1611,348,21.6
New York,NY,17975,2820,15.7
North Carolina,NC,6813,1080,15.8
North Dakota,ND,616,74,12.1
Ohio,OH,11175,1398,12.5
Oklahoma,OK,3269,607,18.6
Oregon,OR,3039,346,11.4
Pennsylvania,PA,12018,1425,11.9
Rhode Island,RI,960,119,12.4
South Carolina,SC,3675,697,19.0
South Dakota,SD,705,106,15.1
Tennessee,TN,5036,858,17.0
Texas,TX,17921,3282,18.3
Utah,UT,1830,172,9.4
Vermont,VT,582,61,10.5
Virginia,VA,6241,592,9.5
Washington,WA,5138,574,11.2
West Virginia,WV,1795,401,22.3
Wisconsin,WI,5118,560,10.9
Wyoming,WY,475,49,10.3
