State,State_Short,Total,Number,Percent
Alabama,AL,4532,650,14.3
Alaska,AK,658,58,8.9
Arizona,AZ,6256,902,14.4
Arkansas,AR,2748,487,17.7
California,CA,36160,4427,12.2
Colorado,CO,4797,466,9.7
Connecticut,CT,3457,275,8.0
Delaware,DE,858,80,9.3
D.C.,DC,569,104,18.3
Florida,FL,18029,2068,11.5
Georgia,GA,9334,1172,12.6
Hawaii,HI,1254,116,9.2
Idaho,ID,1472,141,9.5
Illinois,IL,12633,1338,10.6
Indiana,IN,6334,674,10.6
Iowa,IA,2913,301,10.3
Kansas,KS,2719,349,12.8
Kentucky,KY,4106,690,16.8
Louisiana,LA,4206,713,17.0
Maine,ME,1313,134,10.2
Maryland,MD,5607,469,8.4
Massachusetts,MA,6324,758,12.0
Michigan,MI,9953,1323,13.3
Minnesota,MN,5145,422,8.2
Mississippi,MS,2887,596,20.6
Missouri,MO,5797,659,11.4
Montana,MT,930,125,13.5
Nebraska,NE,1765,180,10.2
Nevada,NV,2530,241,9.5
New Hampshire,NH,1308,71,5.4
New Jersey,NJ,8650,762,8.8
New Mexico,NM,1939,328,16.9
New York,NY,19021,2668,14.0
North Carolina,NC,8847,1225,13.8
North Dakota,ND,615,70,11.4
Ohio,OH,11297,1371,12.1
Oklahoma,OK,3489,531,15.2
Oregon,OR,3705,439,11.8
Pennsylvania,PA,12326,1397,11.3
Rhode Island,RI,1054,110,10.5
South Carolina,SC,4224,474,11.2
South Dakota,SD,770,82,10.7
Tennessee,TN,5916,879,14.9
Texas,TX,23208,3816,16.4
Utah,UT,2536,235,9.3
Vermont,VT,618,48,7.8
Virginia,VA,7532,651,8.6
Washington,WA,6310,502,8.0
West Virginia,WV,1810,277,15.3
Wisconsin,WI,5471,555,10.1
Wyoming,WY,516,51,10.0
