State,State_Short,Total,Number,Percent
Alabama,AL,4566,662,14.5
Alaska,AK,675,51,7.6
Arizona,AZ,6365,912,14.3
Arkansas,AR,2803,387,13.8
California,CA,36247,4589,12.7
Colorado,CO,4872,478,9.8
Connecticut,CT,3471,309,8.9
Delaware,DE,861,80,9.3
D.C.,DC,580,104,18.0
Florida,FL,18044,2250,12.5
Georgia,GA,9486,1294,13.6
Hawaii,HI,1264,94,7.5
Idaho,ID,1501,149,9.9
Illinois,IL,12680,1262,10.0
Indiana,IN,6258,740,11.8
Iowa,IA,2965,264,8.9
Kansas,KS,2720,319,11.7
Kentucky,KY,4202,653,15.5
Louisiana,LA,4186,673,16.1
Maine,ME,1312,142,10.9
Maryland,MD,5560,491,8.8
Massachusetts,MA,6336,707,11.2
Michigan,MI,9919,1076,10.8
Minnesota,MN,5188,482,9.3
Mississippi,MS,2895,655,22.6
Missouri,MO,5783,742,12.8
Montana,MT,938,122,13.0
Nebraska,NE,1751,174,9.9
Nevada,NV,2566,250,9.7
New Hampshire,NH,1312,76,5.8
New Jersey,NJ,8548,742,8.7
New Mexico,NM,1941,271,14.0
New York,NY,19021,2757,14.5
North Carolina,NC,9170,1423,15.5
North Dakota,ND,614,57,9.3
Ohio,OH,11280,1446,12.8
Oklahoma,OK,3551,476,13.4
Oregon,OR,3761,481,12.8
Pennsylvania,PA,12297,1273,10.4
Rhode Island,RI,1042,99,9.5
South Carolina,SC,4380,617,14.1
South Dakota,SD,787,74,9.4
Tennessee,TN,6137,906,14.8
Texas,TX,23653,3903,16.5
Utah,UT,2651,255,9.6
Vermont,VT,613,61,9.9
Virginia,VA,7678,664,8.6
Washington,WA,6503,661,10.2
West Virginia,WV,1793,265,14.8
Wisconsin,WI,5458,601,11.0
Wyoming,WY,518,56,10.9
