State,State_Short,Total,Number,Percent
Alabama,AL,4765,848,17.8
Alaska,AK,694,82,11.9
Arizona,AZ,6657,1409,21.2
Arkansas,AR,2891,532,18.4
California,CA,38666,6112,15.8
Colorado,CO,5376,661,12.3
Connecticut,CT,3577,308,8.6
Delaware,DE,929,103,11.0
District of Columbia,DC,657,125,19.0
Florida,FL,19694,3282,16.7
Georgia,GA,9948,1676,16.8
Hawaii,HI,1365,147,10.8
Idaho,ID,1606,199,12.4
Illinois,IL,12774,1756,13.7
Indiana,IN,6470,948,14.6
Iowa,IA,3078,317,10.3
Kansas,KS,2851,345,12.1
Kentucky,KY,4299,861,20.0
Louisiana,LA,4550,1049,23.1
Maine,ME,1300,190,14.6
Maryland,MD,5934,584,9.8
Massachusetts,MA,6653,902,13.6
Michigan,MI,9893,1462,14.8
Minnesota,MN,5417,447,8.3
Mississippi,MS,2961,654,22.1
Missouri,MO,5950,620,10.4
Montana,MT,1008,121,12.0
Nebraska,NE,1873,221,11.8
Nevada,NV,2819,478,17.0
New Hampshire,NH,1318,95,7.2
New Jersey,NJ,8938,1013,11.3
New Mexico,NM,2030,406,20.0
New York,NY,19658,2755,14.0
North Carolina,NC,9823,1678,17.1
North Dakota,ND,731,71,9.7
Ohio,OH,11505,1792,15.6
Oklahoma,OK,3728,647,17.3
Oregon,OR,3955,570,14.4
Pennsylvania,PA,12620,1581,12.5
Rhode Island,RI,1046,119,11.3
South Carolina,SC,4764,788,16.5
South Dakota,SD,846,109,12.8
Tennessee,TN,6496,1122,17.3
Texas,TX,26676,4364,16.4
Utah,UT,2928,298,10.2
Vermont,VT,615,57,9.3
Virginia,VA,8257,842,10.2
Washington,WA,7079,852,12.0
West Virginia,WV,1822,376,20.6
Wisconsin,WI,5742,628,10.9
Wyoming,WY,572,55,9.7
