State,State_Short,Total,Number,Percent
Alabama,AL,4258,595,14.0
Alaska,AK,657,54,8.2
Arizona,AZ,4786,980,20.5
Arkansas,AR,2606,449,17.2
California,CA,32305,5472,16.9
Colorado,CO,3869,412,10.6
Connecticut,CT,3341,392,11.7
Delaware,DE,732,63,8.6
D.C.,DC,538,130,24.1
Florida,FL,14343,2037,14.2
Georgia,GA,7390,1097,14.8
Hawaii,HI,1172,142,12.1
Idaho,ID,1185,140,11.9
Illinois,IL,11810,1429,12.1
Indiana,IN,5681,428,7.5
Iowa,IA,2898,279,9.6
Kansas,KS,2569,287,11.2
Kentucky,KY,3877,658,17.0
Louisiana,LA,4263,873,20.5
Maine,ME,1203,135,11.2
Maryland,MD,5085,522,10.3
Massachusetts,MA,6150,622,10.1
Michigan,MI,9572,1068,11.2
Minnesota,MN,4690,458,9.8
Mississippi,MS,2797,575,20.6
Missouri,MO,5268,500,9.5
Montana,MT,908,155,17.0
Nebraska,NE,1666,169,10.2
Nevada,NV,1634,133,8.1
New Hampshire,NH,1142,73,6.4
New Jersey,NJ,7858,726,9.2
New Mexico,NM,1847,472,25.5
New York,NY,18345,3058,16.7
North Carolina,NC,7254,885,12.2
North Dakota,ND,628,69,11.0
Ohio,OH,11254,1424,12.7
Oklahoma,OK,3344,556,16.6
Oregon,OR,3234,382,11.8
Pennsylvania,PA,11889,1374,11.6
Rhode Island,RI,940,104,11.0
South Carolina,SC,3698,482,13.0
South Dakota,SD,701,82,11.8
Tennessee,TN,5528,878,15.9
Texas,TX,19184,3180,16.6
Utah,UT,1998,153,7.7
Vermont,VT,586,74,12.6
Virginia,VA,6481,795,12.3
Washington,WA,5620,666,11.9
West Virginia,WV,1745,323,18.5
Wisconsin,WI,5205,460,8.8
Wyoming,WY,486,58,11.9
