State,State_Short,Total,Number,Percent
Alabama,AL,4655,770,16.6
Alaska,AK,688,81,11.7
Arizona,AZ,6508,1381,21.2
Arkansas,AR,2846,538,18.9
California,CA,36742,5638,15.3
Colorado,CO,4969,613,12.3
Connecticut,CT,3472,292,8.4
Delaware,DE,883,109,12.3
D.C.,DC,595,107,17.9
Florida,FL,18385,2676,14.6
Georgia,GA,9657,1775,18.4
Hawaii,HI,1250,156,12.5
Idaho,ID,1524,209,13.7
Illinois,IL,12759,1690,13.2
Indiana,IN,6342,1023,16.1
Iowa,IA,2987,319,10.7
Kansas,KS,2737,374,13.7
Kentucky,KY,4276,727,17.0
Louisiana,LA,4450,636,14.3
Maine,ME,1297,148,11.4
Maryland,MD,5662,543,9.6
Massachusetts,MA,6623,717,10.8
Michigan,MI,9797,1376,14.0
Minnesota,MN,5200,576,11.1
Mississippi,MS,2847,658,23.1
Missouri,MO,5963,926,15.5
Montana,MT,971,131,13.5
Nebraska,NE,1778,176,9.9
Nevada,NV,2629,343,13.0
New Hampshire,NH,1313,103,7.8
New Jersey,NJ,8660,806,9.3
New Mexico,NM,1971,381,19.3
New York,NY,19158,3018,15.8
North Carolina,NC,9336,1576,16.9
North Dakota,ND,632,69,10.9
Ohio,OH,11441,1526,13.3
Oklahoma,OK,3632,468,12.9
Oregon,OR,3821,510,13.4
Pennsylvania,PA,12401,1376,11.1
Rhode Island,RI,1030,134,13.0
South Carolina,SC,4501,618,13.7
South Dakota,SD,799,113,14.1
Tennessee,TN,6240,1031,16.5
Texas,TX,24632,4262,17.3
Utah,UT,2794,270,9.7
Vermont,VT,617,58,9.4
Virginia,VA,7767,831,10.7
Washington,WA,6697,781,11.7
West Virginia,WV,1801,285,15.8
Wisconsin,WI,5545,599,10.8
Wyoming,WY,540,50,9.2
