State,State_Short,Total,Number,Percent
Alabama,AL,4508,762,16.9
Alaska,AK,648,59,9.1
Arizona,AZ,5763,830,14.4
Arkansas,AR,2723,412,15.1
California,CA,35772,4724,13.2
Colorado,CO,4517,450,10.0
Connecticut,CT,3487,352,10.1
Delaware,DE,825,74,9.0
D.C.,DC,545,93,17.0
Florida,FL,17419,2028,11.6
Georgia,GA,8700,1132,13.0
Hawaii,HI,1244,106,8.6
Idaho,ID,1372,136,9.9
Illinois,IL,12563,1546,12.3
Indiana,IN,6121,712,11.6
Iowa,IA,2901,316,10.9
Kansas,KS,2669,304,11.4
Kentucky,KY,4068,723,17.8
Louisiana,LA,4419,744,16.8
Maine,ME,1290,149,11.6
Maryland,MD,5539,550,9.9
Massachusetts,MA,6363,594,9.3
Michigan,MI,9939,1318,13.3
Minnesota,MN,5120,356,7.0
Mississippi,MS,2862,536,18.7
Missouri,MO,5609,686,12.2
Montana,MT,908,129,14.2
Nebraska,NE,1724,163,9.5
Nevada,NV,2385,260,10.9
New Hampshire,NH,1291,71,5.5
New Jersey,NJ,8652,693,8.0
New Mexico,NM,1899,314,16.5
New York,NY,19010,2847,15.0
North Carolina,NC,8421,1229,14.6
North Dakota,ND,627,61,9.7
Ohio,OH,11259,1304,11.6
Oklahoma,OK,3444,373,10.8
Oregon,OR,3572,421,11.8
Pennsylvania,PA,12142,1383,11.4
Rhode Island,RI,1055,122,11.5
South Carolina,SC,4120,615,14.9
South Dakota,SD,751,102,13.5
Tennessee,TN,5846,932,15.9
Texas,TX,22288,3669,16.5
Utah,UT,2390,241,10.1
Vermont,VT,616,48,7.8
Virginia,VA,7369,693,9.4
Washington,WA,6116,700,11.4
West Virginia,WV,1791,254,14.2
Wisconsin,WI,5456,676,12.4
Wyoming,WY,496,50,10.0
