State,State_Short,Total,Number,Percent
Alabama,AL,4299,704,16.4
Alaska,AK,592,61,10.2
Arizona,AZ,4223,673,15.9
Arkansas,AR,2414,369,15.3
California,CA,31669,5658,17.9
Colorado,CO,3736,335,9.0
Connecticut,CT,3192,344,10.8
Delaware,DE,681,57,8.3
D.C.,DC,607,129,21.2
Florida,FL,14258,2128,14.9
Georgia,GA,7220,1012,14.0
Hawaii,HI,1106,97,8.7
Idaho,ID,1138,137,12.0
Illinois,IL,11808,1464,12.4
Indiana,IN,5967,816,13.7
Iowa,IA,2815,302,10.7
Kansas,KS,2522,375,14.9
Kentucky,KY,3843,710,18.5
Louisiana,LA,4351,1117,25.7
Maine,ME,1201,113,9.4
Maryland,MD,5045,541,10.7
Massachusetts,MA,6005,585,9.7
Michigan,MI,9519,1347,14.1
Minnesota,MN,4486,523,11.7
Mississippi,MS,2587,515,19.9
Missouri,MO,5107,797,15.6
Montana,MT,844,97,11.5
Nebraska,NE,1648,146,8.8
Nevada,NV,1521,168,11.1
New Hampshire,NH,1131,87,7.7
New Jersey,NJ,7920,730,9.2
New Mexico,NM,1685,356,21.1
New York,NY,18213,3097,17.0
North Carolina,NC,6895,980,14.2
North Dakota,ND,627,65,10.4
Ohio,OH,11139,1571,14.1
Oklahoma,OK,3232,540,16.7
Oregon,OR,3152,373,11.8
Pennsylvania,PA,11967,1496,12.5
Rhode Island,RI,968,99,10.3
South Carolina,SC,3633,501,13.8
South Dakota,SD,737,107,14.5
Tennessee,TN,5338,779,14.6
Texas,TX,18894,3603,19.1
Utah,UT,1926,154,8.0
Vermont,VT,589,45,7.6
Virginia,VA,6616,710,10.7
Washington,WA,5259,614,11.7
West Virginia,WV,1804,336,18.6
Wisconsin,WI,5003,453,9.0
Wyoming,WY,485,45,9.3
