State,State_Short,Total,Number,Percent
Alabama,AL,4190,609,14.5
Alaska,AK,641,60,9.4
Arizona,AZ,4887,812,16.6
Arkansas,AR,2559,377,14.7
California,CA,33292,5118,15.4
Colorado,CO,3966,363,9.2
Connecticut,CT,3275,310,9.5
Delaware,DE,781,80,10.3
D.C.,DC,510,114,22.3
Florida,FL,14629,1923,13.1
Georgia,GA,7634,1034,13.5
Hawaii,HI,1201,131,10.9
Idaho,ID,1273,165,13.0
Illinois,IL,12255,1234,10.1
Indiana,IN,5830,547,9.4
Iowa,IA,2834,257,9.1
Kansas,KS,2615,250,9.6
Kentucky,KY,3860,521,13.5
Louisiana,LA,4305,821,19.1
Maine,ME,1263,131,10.4
Maryland,MD,5014,359,7.2
Massachusetts,MA,6100,528,8.7
Michigan,MI,10012,1097,11.0
Minnesota,MN,4815,498,10.3
Mississippi,MS,2758,486,17.6
Missouri,MO,5399,531,9.8
Montana,MT,922,153,16.6
Nebraska,NE,1713,211,12.3
Nevada,NV,1845,195,10.6
New Hampshire,NH,1216,119,9.8
New Jersey,NJ,8072,693,8.6
New Mexico,NM,1823,371,20.4
New York,NY,18370,3068,16.7
North Carolina,NC,7412,1039,14.0
North Dakota,ND,644,97,15.1
Ohio,OH,11201,1253,11.2
Oklahoma,OK,3251,458,14.1
Oregon,OR,3352,503,15.0
Pennsylvania,PA,11890,1338,11.3
Rhode Island,RI,965,112,11.6
South Carolina,SC,3851,527,13.7
South Dakota,SD,710,77,10.8
Tennessee,TN,5569,749,13.4
Texas,TX,19889,2994,15.1
Utah,UT,2106,190,9.0
Vermont,VT,592,58,9.9
Virginia,VA,6679,589,8.8
Washington,WA,5729,512,8.9
West Virginia,WV,1748,312,17.8
Wisconsin,WI,5127,449,8.8
Wyoming,WY,484,51,10.6
