State,State_Short,Total,Number,Percent
Alabama,AL,4432,640,14.5
Alaska,AK,632,56,8.8
Arizona,AZ,5424,735,13.5
Arkansas,AR,2690,532,19.8
California,CA,35068,4605,13.1
Colorado,CO,4470,436,9.8
Connecticut,CT,3377,279,8.3
Delaware,DE,796,73,9.1
D.C.,DC,570,97,17.0
Florida,FL,16391,2058,12.6
Georgia,GA,8413,939,11.2
Hawaii,HI,1219,138,11.3
Idaho,ID,1296,147,11.3
Illinois,IL,12495,1594,12.8
Indiana,IN,6086,552,9.1
Iowa,IA,2899,267,9.2
Kansas,KS,2681,269,10.1
Kentucky,KY,4033,571,14.2
Louisiana,LA,4445,777,17.5
Maine,ME,1265,170,13.4
Maryland,MD,5419,400,7.4
Massachusetts,MA,6469,648,10.0
Michigan,MI,9897,1152,11.6
Minnesota,MN,5044,325,6.5
Mississippi,MS,2785,513,18.4
Missouri,MO,5581,551,9.9
Montana,MT,902,122,13.5
Nebraska,NE,1700,181,10.6
Nevada,NV,2114,188,8.9
New Hampshire,NH,1264,73,5.8
New Jersey,NJ,8585,681,7.9
New Mexico,NM,1837,328,17.9
New York,NY,19224,2690,14.0
North Carolina,NC,8146,1165,14.3
North Dakota,ND,632,73,11.6
Ohio,OH,11253,1099,9.8
Oklahoma,OK,3473,489,14.1
Oregon,OR,3503,380,10.9
Pennsylvania,PA,12168,1152,9.5
Rhode Island,RI,1055,116,11.0
South Carolina,SC,3989,568,14.3
South Dakota,SD,743,85,11.5
Tennessee,TN,5655,839,14.8
Texas,TX,21482,3362,15.6
Utah,UT,2308,228,9.9
Vermont,VT,616,61,9.9
Virginia,VA,7108,702,9.9
Washington,WA,5988,657,11.0
West Virginia,WV,1747,293,16.8
Wisconsin,WI,5463,467,8.6
Wyoming,WY,488,44,9.0
